Publication Number,Chemical Name,Depositor Chemical Name,DTXSID,CASRN,Species,Strain,Study Number,MALE_RATS_TR_RESULT,FEMALE_RATS_TR_RESULT,MALE_MICE_TR_RESULT,FEMALE_MICE_TR_RESULT,MALE_HAMSTERS_TR_RESULT,FEMALE_HAMSTERS_TR_RESULT,MALE_FISH_TR_RESULT,FEMALE_FISH_TR_RESULT,MALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_MICE_ADRENAL_GLAND_CORTEX,MALE_RATS_ADRENAL_GLAND_MEDULLA,FEMALE_RATS_ADRENAL_GLAND_MEDULLA,MALE_MICE_ADRENAL_GLAND_MEDULLA,FEMALE_MICE_ADRENAL_GLAND_MEDULLA,MALE_RATS_ALL_ORGANS,FEMALE_RATS_ALL_ORGANS,MALE_MICE_ALL_ORGANS,FEMALE_MICE_ALL_ORGANS,MALE_RATS_BONE,MALE_RATS_BRAIN,FEMALE_RATS_BRAIN,MALE_MICE_BRAIN,FEMALE_MICE_BRAIN,FEMALE_RATS_CLITORAL_GLAND,MALE_RATS_EPIDIDYMIS,MALE_MICE_EPIDIDYMIS,MALE_RATS_EPIDIDYMIS_OR_TESTIS,MALE_RATS_ESOPHAGUS,FEMALE_RATS_ESOPHAGUS,MALE_MICE_ESOPHAGUS,FEMALE_MICE_ESOPHAGUS,MALE_RATS_FORESTOMACH,FEMALE_RATS_FORESTOMACH,MALE_MICE_FORESTOMACH,FEMALE_MICE_FORESTOMACH,MALE_RATS_GLANDULAR_STOMACH,FEMALE_RATS_GLANDULAR_STOMACH,MALE_MICE_GLANDULAR_STOMACH,MALE_MICE_HARDERIAN_GLAND,FEMALE_MICE_HARDERIAN_GLAND,MALE_RATS_HEART,FEMALE_RATS_HEART,MALE_MICE_HEART,FEMALE_MICE_HEART,MALE_RATS_HEMATOPOIETIC_SYSTEM,FEMALE_RATS_HEMATOPOIETIC_SYSTEM,MALE_MICE_HEMATOPOIETIC_SYSTEM,FEMALE_MICE_HEMATOPOIETIC_SYSTEM,MALE_RATS_INTESTINES_LARGE,FEMALE_RATS_INTESTINES_LARGE,MALE_MICE_INTESTINES_LARGE,FEMALE_MICE_INTESTINES_LARGE,MALE_RATS_INTESTINES_SMALL,FEMALE_RATS_INTESTINES_SMALL,MALE_MICE_INTESTINES_SMALL,FEMALE_MICE_INTESTINES_SMALL,MALE_RATS_KIDNEY,MALE_MICE_KIDNEY,FEMALE_RATS_KIDNEY_MESENCHYMAL_CELL,MALE_RATS_KIDNEY_TRANSITIONAL_CELL,FEMALE_RATS_KIDNEY_TRANSITIONAL_CELL,MALE_RATS_KIDNEY_TUBULAR_CELL,FEMALE_RATS_KIDNEY_TUBULAR_CELL,MALE_MICE_KIDNEY_TUBULAR_CELL,FEMALE_MICE_KIDNEY_TUBULAR_CELL,MALE_RATS_LIVER,FEMALE_RATS_LIVER,MALE_MICE_LIVER,FEMALE_MICE_LIVER,MALE_FISH_LIVER,FEMALE_FISH_LIVER,MALE_RATS_LUNG,FEMALE_RATS_LUNG,MALE_MICE_LUNG,FEMALE_MICE_LUNG,MALE_RATS_MAMMARY_GLAND,FEMALE_RATS_MAMMARY_GLAND,FEMALE_MICE_MAMMARY_GLAND,MALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_RATS_NASAL_CAVITY,FEMALE_RATS_NASAL_CAVITY,MALE_MICE_NASAL_CAVITY,FEMALE_MICE_NASAL_CAVITY,MALE_RATS_ORAL_CAVITY,FEMALE_RATS_ORAL_CAVITY,MALE_MICE_ORAL_CAVITY,FEMALE_MICE_ORAL_CAVITY,FEMALE_MICE_OVARY,MALE_RATS_PANCREAS_ACINAR_CELL,FEMALE_RATS_PANCREAS_ACINAR_CELL,MALE_RATS_PANCREAS_ISLET_CELL,FEMALE_RATS_PANCREAS_ISLET_CELL,MALE_MICE_PANCREAS_ISLET_CELL,FEMALE_MICE_PANCREAS_ISLET_CELL,MALE_RATS_PARATHYROID_GLAND,MALE_RATS_PITUITARY_GLAND,FEMALE_RATS_PITUITARY_GLAND,MALE_MICE_PITUITARY_GLAND,FEMALE_MICE_PITUITARY_GLAND,MALE_RATS_PREPUTIAL_GLAND,MALE_MICE_PREPUTIAL_GLAND,MALE_RATS_PROSTATE_GLAND,MALE_RATS_SEMINAL_VESICLE,MALE_MICE_SEMINAL_VESICLE,MALE_RATS_SKIN,FEMALE_RATS_SKIN,MALE_MICE_SKIN,FEMALE_MICE_SKIN,MALE_RATS_SPLEEN,FEMALE_RATS_SPLEEN,MALE_MICE_SPLEEN,FEMALE_MICE_SPLEEN,MALE_RATS_SUBCUTANEOUS_TISSUE,FEMALE_RATS_SUBCUTANEOUS_TISSUE,MALE_MICE_SUBCUTANEOUS_TISSUE,FEMALE_MICE_SUBCUTANEOUS_TISSUE,MALE_RATS_TESTIS,MALE_RATS_THORACIC_CAVITY,MALE_RATS_THYMUS,MALE_RATS_THYROID_GLAND,FEMALE_RATS_THYROID_GLAND,MALE_RATS_THYROID_GLAND_CCELL,FEMALE_RATS_THYROID_GLAND_CCELL,FEMALE_MICE_THYROID_GLAND_CCELL,MALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,MALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,MALE_RATS_URETER,FEMALE_RATS_URETER,MALE_MICE_URETER,FEMALE_MICE_URETER,MALE_RATS_URINARY_BLADDER,FEMALE_RATS_URINARY_BLADDER,MALE_MICE_URINARY_BLADDER,FEMALE_MICE_URINARY_BLADDER,MALE_MICE_URINARY_SYSTEM,FEMALE_MICE_URINARY_SYSTEM,FEMALE_RATS_UTERUS,FEMALE_MICE_UTERUS,FEMALE_RATS_UTERUSCERVIX,FEMALE_MICE_UTERUSCERVIX,FEMALE_MICE_VAGINA,MALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_RATS_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_LIVER,FEMALE_MICE_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,FEMALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,MALE_RATS_VASCULAR_SYSTEM_SPLEEN,MALE_MICE_VASCULAR_SYSTEM_SPLEEN,FEMALE_MICE_VASCULAR_SYSTEM_SPLEEN,MALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,MALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,MALE_RATS_ZYMBAL_GLAND,FEMALE_RATS_ZYMBAL_GLAND,MALE_MICE_ZYMBAL_GLAND,FEMALE_MICE_ZYMBAL_GLAND
TR-576,Trimethylolpropane triacrylate,Trimethylolpropane triacrylate,DTXSID0027773,15625-89-5,Mice,B6C3F1,C88133C,,,,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~stromal polyp or stromal sarcoma 0/50, 1/50, 2/50, 6/50",,,,,,,,,,,,,,,,,,,,,
TR-576,Trimethylolpropane triacrylate,Trimethylolpropane triacrylate,DTXSID0027773,15625-89-5,Rats,F344/N,C88133C,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-163,Calcium cyanamide,Calcium cyanamide,DTXSID6020353,156-62-7,Mice,B6C3F1,C02937,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-163,Calcium cyanamide,Calcium cyanamide,DTXSID6020353,156-62-7,Rats,F344/N,C02937,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-034,Trifluralin,Trifluralin,DTXSID4021395,1582-09-8,Mice,B6C3F1,C00442,,,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(SQUAMOUS CELL CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-034,Trifluralin,Trifluralin,DTXSID4021395,1582-09-8,Mice,B6C3F1,C00442,,,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-034,Trifluralin,Trifluralin,DTXSID4021395,1582-09-8,Mice,B6C3F1,C00442,,,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(ALVEOLAR/BRONCHIOLAR ADENOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-034,Trifluralin,Trifluralin,DTXSID4021395,1582-09-8,Rats,Osborne Mendel,C00442,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-083,Daminozide,Daminozide,DTXSID9020370,1596-84-5,Mice,B6C3F1,C03827,,,Equivocal,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-083,Daminozide,Daminozide,DTXSID9020370,1596-84-5,Rats,F344/N,C03827,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~(ADENOCARCINOMA, LEIOMYOSARCOMA)",,,,,,,,,,,,,,,,,,,,
TR-135,Malaoxon,Malaoxon,DTXSID9020790,1634-78-2,Mice,B6C3F1,C08628,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-135,Malaoxon,Malaoxon,DTXSID9020790,1634-78-2,Rats,F344/N,C08628,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-112,3-Amino-4-ethoxyacetanilide,3-Amino-4-ethoxyacetanilide,DTXSID7020053,17026-81-2,Mice,B6C3F1,C01887,,,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~CARCINOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-112,3-Amino-4-ethoxyacetanilide,3-Amino-4-ethoxyacetanilide,DTXSID7020053,17026-81-2,Rats,F344/N,C01887,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-209,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Mice,B6C3F1,C03714A,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~CARCINOMA 8/73 9/49 8/49 17/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-209,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Mice,B6C3F1,C03714A,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~CARCINOMA 1/73 2/50 2/48 6/47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-209,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Mice,B6C3F1,C03714A,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/69 3/50 1/47 5/46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-201,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Mice,Swiss Webster,C03714B,,,Equivocal,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~FIBROSARCOMA 3/42 6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-201,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Mice,Swiss Webster,C03714B,,,Equivocal,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~FIBROSARCOMA 2/41 8/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-521,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic equivalency factor evaluation (TCDD),DTXSID2021315,1746-01-6,Rats,Harlan Sprague-Dawley,C96007G,,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May Have Been Related~HEPATOCHOLANGIOMA 0/53 0/54 0/53 0/53 0/53 2/53 0/50 OR CHOLANGIOMA 0/53 0/54 0/53 0/53 0/53 0/53 1/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-521,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic equivalency factor evaluation (TCDD),DTXSID2021315,1746-01-6,Rats,Harlan Sprague-Dawley,C96007G,,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May Have Been Related~ADENOMA OR CARCINOMA 0/51 0/54 0/52 0/53 0/52 3/51 1/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-521,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic equivalency factor evaluation (TCDD),DTXSID2021315,1746-01-6,Rats,Harlan Sprague-Dawley,C96007G,,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/53 0/54 0/53 0/53 1/53 13/53 2/50 OR CHOLANGIOCARCINOMA 0/53 0/54 0/53 1/53 4/53 25/53 2/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-521,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic equivalency factor evaluation (TCDD),DTXSID2021315,1746-01-6,Rats,Harlan Sprague-Dawley,C96007G,,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~CYSTIC KERATINIZING EPITHELIOMA 0/53 0/54 0/53 0/52 0/53 9/52 0/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-521,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic equivalency factor evaluation (TCDD),DTXSID2021315,1746-01-6,Rats,Harlan Sprague-Dawley,C96007G,,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~GINGIVAL SQAMOUS CELL CARCINOMA (ORAL MUCOSA) 1/53 2/54 1/53 0/53 4/53 10/53 5/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-521,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic equivalency factor evaluation (TCDD),DTXSID2021315,1746-01-6,Rats,Harlan Sprague-Dawley,C96007G,,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~SQUAMOUS CELL CARCINOMA 0/53 0/54 0/53 0/53 5/53 0/53 2/50,,,,,,,,,,,,,,,,,,,,
TR-209,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Rats,Osborne Mendel,C03714A,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~NEOPLASTIC NODULE 5/75 1/49 3/50 12/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-209,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,1746-01-6,Rats,Osborne Mendel,C03714A,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 1/69 5/48 6/50 10/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-133,3-Nitro-p-acetophenetide,3-Nitro-p-acetophenetide,DTXSID5020942,1777-84-0,Mice,B6C3F1,C01978,,,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(ADENOMA OR CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-133,3-Nitro-p-acetophenetide,3-Nitro-p-acetophenetide,DTXSID5020942,1777-84-0,Rats,F344/N,C01978,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-235,Zearalenone,Zearalenone,DTXSID0021460,17924-92-4,Mice,B6C3F1,C50226,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/50 2/49 7/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-235,Zearalenone,Zearalenone,DTXSID0021460,17924-92-4,Mice,B6C3F1,C50226,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/40 4/45 6/44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-235,Zearalenone,Zearalenone,DTXSID0021460,17924-92-4,Mice,B6C3F1,C50226,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 3/46 2/43 13/42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-235,Zearalenone,Zearalenone,DTXSID0021460,17924-92-4,Rats,F344/N,C50226,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-414,Pentachloroanisole,Pentachloroanisole,DTXSID2021103,1825-21-4,Mice,B6C3F1,C56520,,,Some Evidence,,,,,,,,,,,Neoplastic Lesions~Pheochromocytoma 0/50 4/50 7/48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-414,Pentachloroanisole,Pentachloroanisole,DTXSID2021103,1825-21-4,Mice,B6C3F1,C56520,,,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~Hemangiosarcoma 2/50 8/50 10/50,,,,,,,,,,,,,,
TR-414,Pentachloroanisole,Pentachloroanisole,DTXSID2021103,1825-21-4,Rats,F344/N,C56520,Some Evidence,Equivocal Evidence,,,,,,,,,,Neoplastic Lesions~Pheochromocytoma 12/50 17/50 23/50 15/48 or malignant pheochromocytoma 3/50 2/50 4/50 0/48 combined 15/50 18/50 25/50 15/48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-414,Pentachloroanisole,Pentachloroanisole,DTXSID2021103,1825-21-4,Rats,F344/N,C56520,Some Evidence,Equivocal Evidence,,,,,,,,,,,Neoplastic Lesions~Pheochromocytoma 3/50 7/50 9/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-026,Nitrofen,Nitrofen,DTXSID7020970,1836-75-5,Mice,B6C3F1,C00420B,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~HEPATOCELLULAR CARCINOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
