CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
,Hexazinone,DTXSID4024145,51235-04-2,Negative,,,,,,,,,
TR-081,Trimethylphosphate,DTXSID1021403,512-56-1,Positive,,,,,,,,,
,"2,4-Dinitrophenol",DTXSID0020523,51-28-5,Negative,,,,,,,,,
,Isoproterenol hydrochloride,DTXSID6025486,51-30-9,Weakly Positive; Negative,,,,,,,,,
,"4-Nitro-1,3-benzenediamine",DTXSID1025770,5131-58-8,Positive,,,,,,,,,
TR-085,4-Chloro-m-phenylenediamine,DTXSID0020282,5131-60-2,Positive,,,,,,,,,
TR-316,Dimethylvinyl chloride (DMVC),DTXSID5020520,513-37-1,Positive; Negative,Positive,,Positive,,,,,,
,"3,5-Dichlorobenzoic acid",DTXSID4024981,51-36-5,Negative,,,,,,,,,
,Acetoin,DTXSID0024399,513-86-0,Negative,Negative,Negative,Negative,Negative,,,,,
,Epinephrine,DTXSID5022986,51-43-4,Weakly Positive; Equivocal,,,,,,,,,
,"3,4-Dichlorobenzoic acid",DTXSID9024980,51-44-5,Negative,,,,,,,,,
,6-Propyl-2-thiouracil,DTXSID5021209,51-52-5,Negative,,,,,,,,,
TR-225,D&C Red No. 9,DTXSID3021229,5160-02-1,Weakly Positive,,,,,,,,,
,Dopamine,DTXSID6022420,51-61-6,Weakly Positive,,,,,,,,,
,4-Fluoro-dl-phenylalanine,DTXSID3025332,51-65-0,Negative,,,,,,,,,
,Hematoxylin,DTXSID8020678,517-28-2,Negative,,,,,,,,,
,Dipropylene glycol phenyl ether,DTXSID10108384,51730-94-0,Negative,,,,,,,,,
TR-510,Urethane,DTXSID9021427,51-79-6,Positive; Equivocal,,,Positive; Positive; Positive; Negative,Positive; Positive,,,,,
,C.I. Acid Yellow 73 (Fluorescein sodium),DTXSID9025328,518-47-8,Negative,,,Negative,,,,,,
TR-493,Emodin,DTXSID5025231,518-82-1,Weakly Positive; Positive,Negative,,Negative; Negative,Positive; Negative,,,,,
,Hesperidin,DTXSID9044328,520-26-3,Equivocal,,,,,,,,,
,Apigenin,DTXSID6022391,520-36-5,Negative,,,,,,,,,
,"2-Propenamide, N-(3-(dimethylamino)propyl)-2-methyl-",DTXSID7040154,5205-93-6,Negative,,,Negative,,,,,,
,Luminol,DTXSID5024504,521-31-3,Negative,Negative,,,,,,,,
TR-058,tris(Aziridinyl)-phosphine sulfide (Thio-TEPA),DTXSID0021339,52-24-4,Positive,,,,,,,,,
,2-Amino-4-phenylthiazole HBr H2O,DTXSID0024503,52253-69-7,Positive,,,,,,,,,
,Codeine phosphate,DTXSID0024844,52-28-8,Negative,,,,,,,,,
,beta-Cadinene,DTXSID0024713,523-47-7,Negative,,,,,,,,,
,Dimenhydrinate,DTXSID9025087,523-87-5,Positive; Equivocal,,,,,,,,,
,"9-Aminoacridine, monohydrochloride, monohydrate",DTXSID7024457,52417-22-8,Positive; Positive; Positive,,,,,,,,,
,"2-Bromo-2-nitro-1,3-propanediol",DTXSID8024652,52-51-7,Negative,,,,,,,,,
,1-Aminocyclopentane carboxylic acid,DTXSID5024475,52-52-8,Negative,,,,,,,,,
TR-592,"Zinc Carbonate, Basic",DTXSID4040212,5263-02-5,,Negative; Negative; Negative; Negative; Negative,Negative; Negative; Negative; Negative; Negative,,,,Positive,Positive,,
,"2,3-Dimethyl phenol",DTXSID6025143,526-75-0,Negative,,,,,,,,,
,Trichlorfon,DTXSID0021389,52-68-6,Weakly Positive,,,Negative,,,,,,
,"1,2,3,5-Tetramethylbenzene",DTXSID6026119,527-53-7,Negative,,,,,,,,,
,2-Methylbenzamide,DTXSID6025569,527-85-5,Negative,,,,,,,,,
,Dibromochloroacetic acid,DTXSID3031151,5278-95-5,Positive,,,,,,,,,
,Dichloromethotrexate,DTXSID3024996,528-74-5,Weakly Positive; Negative; Negative,,,,,,,,,
,o-Tolunitrile,DTXSID6022050,529-19-1,Negative,,,,,,,,,
,o-Tolualdehyde,DTXSID1022051,529-20-4,Negative,,,,,,,,,
,Prednisone,DTXSID4021185,53-03-2,Positive; Positive,,,,,,,,,
TR-169,2-Nitro-p-phenylenediamine,DTXSID4020957,5307-14-2,Positive,,,,,,,,,
,Azure A,DTXSID2040157,531-53-3,Positive,,,,,,,,,
,Azure B,DTXSID7040158,531-55-5,Positive,,,,,,,,,
,Azure C,DTXSID2040159,531-57-7,Positive,,,,,,,,,
,Benzidine dihydrochloride,DTXSID7020138,531-85-1,Positive,,,,,,,,,
,"o,p'-DDD",DTXSID9020372,53-19-0,Negative,,,,,,,,,
,Equol,DTXSID0022309,531-95-3,Negative,,,,,,,,,
TR-379,2-Chloroacetophenone (CN),DTXSID9020293,532-27-4,Negative,,,,,,,,,
,alpha-Hydroxybenzeneacetonitrile,DTXSID2025422,532-28-5,Negative,,,,,,,,,
,Sodium ricinoleate,DTXSID9026005,5323-95-5,Negative; Negative,,,,,,,,,
,C.I. Basic Orange 2,DTXSID0024559,532-82-1,Positive; Positive,,,,,,,,,
,Sesamol,DTXSID9021267,533-31-3,Negative,,,,,,,,,
,Dazomet,DTXSID7024902,533-74-4,Weakly Positive,,,,,,,,,
,2-Methyl furan,DTXSID9025611,534-22-5,Negative; Equivocal,,,,,,,,,
,"4,6-Dinitro-o-cresol",DTXSID1022053,534-52-1,Positive,,,,,,,,,
,m-Chlorobenzoic acid,DTXSID9024770,535-80-8,Negative,,,,,,,,,
,Trigonelline,DTXSID2026230,535-83-1,Negative,,,,,,,,,
TR-046,Ethionamide,DTXSID0020577,536-33-4,Negative,,,,,,,,,
,m-Anisidine,DTXSID8024529,536-90-3,Weakly Positive; Positive; Negative,,,,,,,,,
,"Dibenz(a,h)anthracene",DTXSID9020409,53-70-3,Positive,,,,,,,,,
,N-Acetyl-m-toluidine,DTXSID6024412,537-92-8,Negative,,,,,,,,,
TR-426,Tricaprylin,DTXSID6021375,538-23-8,Positive,,,,,,,,,
,Indomethacin,DTXSID9020740,53-86-1,Negative,,,,,,,,,
,Benzyl sulfide,DTXSID6024599,538-74-9,Negative,,,,,,,,,
,Dicyclohexylcarbodiimide,DTXSID1023817,538-75-0,Negative,Negative,,Weakly Positive,Weakly Positive,,,,,
TR-505,Citral,DTXSID6024836,5392-40-5,Negative,,,Negative; Negative,Negative,,,,,
,"1,4-Benzenedimethanamine (9CI)",DTXSID4024567,539-48-0,Negative,,,,,,,,,
,3-((Ethylhexyl)oxy)propylamine,DTXSID1025304,5397-31-9,Negative,,,,,,,,,
,Ethyl valerate,DTXSID6040161,539-82-2,Negative,,,,,,,,,
,p-Toluidinium chloride,DTXSID2021365,540-23-8,Weakly Positive,,,,,,,,,
,2-Bromo-1-ethanol,DTXSID8020200,540-51-2,Positive,,,,,,,,,
,Ethyl 3-hydroxybutyrate,DTXSID6025305,5405-41-4,Negative,,,,,,,,,
,"cis & trans 1,2-Dichloroethylene",DTXSID8024991,540-59-0,Negative,,,,,,,,,
,"Dimethylaminopropyl chloride, hydrochloride",DTXSID5022227,5407-04-5,Positive,,,Negative,Negative,,,,,
,Trimethyloxonium hexachloroantimonate,DTXSID6026242,54075-76-2,Equivocal,,,,,,,,,
,Nicotine (compounds related to),DTXSID1020930,54-11-5,Negative,,,,,,,,,
TR-171,"2,4-Dimethoxyaniline hydrochloride",DTXSID1020483,54150-69-5,Positive,,,Negative,,,,,,
,"1,3-Dichlorobenzene",DTXSID6022056,541-73-1,Negative,,,,,,,,,
,Norbixin (cis/trans mixture),DTXSID4031803,542-40-5,Positive,,,Negative,,,,,,
TR-448,Isobutyl nitrite,DTXSID3020750,542-56-3,Positive; Positive; Positive,,,Positive,Positive,,,,,
TR-269,"1,3-Dichloropropene (Telone II)",DTXSID1022057,542-75-6,Positive,,,Positive; Negative,,,,,,
,3-Chloropropionitrile,DTXSID4030336,542-76-7,Positive,,,,,,,,,
TR-356,Furosemide,DTXSID6020648,54-31-9,Negative; Negative,,,Negative,,,,,,
,"2,2',4,4'-Tetrabromodiphenyl Ether",DTXSID3030056,5436-43-1,Negative,,,,,,,,,
,3-Methyl-2-nitrobenzoic acid,DTXSID6025640,5437-38-7,Positive,,,,,,,,,
,Tetradecanoic acid,DTXSID6021666,544-63-8,Negative,,,,,,,,,
,"Ethanone, 1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-Tetramethyl-2-Naphthalenyl)- (Iso-E Super®; OTNE)",DTXSID7031290,54464-57-2,Negative; Negative,Negative,Negative,Equivocal,Positive,,,,,
,Trichloroacetonitrile,DTXSID0021672,545-06-2,Weakly Positive; Weakly Positive,,,,,,,,,
,2-Amino-4-methoxybenzothiazole,DTXSID4024484,5464-79-9,Positive,,,,,,,,,
,((o-Carboxyphenyl)thio)ethylmercury sodium salt,DTXSID3025540,54-64-8,Negative,,,,,,,,,
,2-Ethylhexyl p-Methoxycinnamate,DTXSID1025302,5466-77-3,Negative; Negative,Negative,Negative,,,,,,,
,4-Nitrophthalic anhydride,DTXSID6025775,5466-84-2,Positive,,,,,,,,,
,alpha-Thujone,DTXSID3026148,546-80-5,Negative; Negative,,,,,,,,,
,Hydroxylamine hydrochloride,DTXSID7025425,5470-11-1,Weakly Positive,,,,,,,,,
,"3,3',5,5'-Tetramethylbenzidine",DTXSID5026120,54827-17-7,Negative,,,,,,,,,
,Nutlin 3,DTXSID3044330,548472-68-0,Negative,,,,,,,,,
,Methyltin-tris(isooctylmercaptoacetate),DTXSID9025667,54849-38-6,Negative,,,,,,,,,
,Hexamethyl-p-rosaniline chloride,DTXSID5020653,548-62-9,Equivocal,,,,,,,,,
,"1,2-Cyclohexanedicarboxylic acid, bis(oxiranylmethyl) ester",DTXSID7024875,5493-45-8,Positive,,,,,,,,,
,alpha-Naphthyl isothiocyanate,DTXSID8025703,551-06-4,Positive,,,,,,,,,
,N-Nitrosodiethylamine,DTXSID2021028,55-18-5,Positive,,,,,,,,,
,Benzamide,DTXSID0021709,55-21-0,Negative; Negative,,,,,,,,,
,o-Nitrobenzoic acid,DTXSID5025738,552-16-9,Positive,,,,,,,,,
,Trimellitic anhydride,DTXSID7026235,552-30-7,Negative,,,,,,,,,
,Cefuroxime,DTXSID5022774,55268-75-2,Negative,,,Negative; Negative,,,,,,
TR-103,Fenthion,DTXSID8020620,55-38-9,Weakly Positive; Negative,,,,,,,,,
,"2,4-Dichloroaniline",DTXSID1024966,554-00-7,Weakly Positive,,,,,,,,,
,"3-Iodo-1,2-propanediol",DTXSID4025450,554-10-9,Positive,,,Negative,,,,,,
,m-Nitrophenol,DTXSID2025765,554-84-7,Weakly Positive,,,,,,,,,
,Methyl dopa,DTXSID5023295,555-30-6,Negative,,,Negative,,,,,,
,N-Methyl-p-aminophenol sulfate,DTXSID6025565,55-55-0,Weakly Positive; Positive,,,,,,,,,
,Chlorhexidine,DTXSID2033314,55-56-1,Negative,,,,,,,,,
TR-296,Tetrakis(hydroxymethyl)phosphonium sulfate,DTXSID0021331,55566-30-8,Negative,,,,,,,,,
,Acesulfame potassium,DTXSID1030606,55589-62-3,,,,Positive; Negative,Negative; Negative,,,,,
,p-Acetamidobenzoic acid,DTXSID5024392,556-08-1,Negative,,,,,,,,,
TR-374,Glycidol,DTXSID4020666,556-52-5,Positive; Positive,,,Positive; Positive; Positive; Negative; Negative; Negative,Positive; Positive; Negative; Negative; Negative,,,,,
,Allyl urea,DTXSID2024450,557-11-9,Positive,,,,,,,,,
,1-Octacosanol,DTXSID1025803,557-61-9,Negative,,,,,,,,,
,Nitrogen mustard hydrochloride,DTXSID8025757,55-86-7,Positive,,,,,,,,,
TR-549,Bromochloroacetic acid,DTXSID4024642,5589-96-8,Positive; Positive,,,Negative,Negative,,,,,
,Myleran,DTXSID3020910,55-98-1,Positive,,,,,,,,,
,6-Methyl-2-thiouracil,DTXSID2020890,56-04-2,Negative,,,,,,,,,
,"3,3'-Iminobis(propylamine)",DTXSID0025440,56-18-8,Negative,,,,,,,,,
,Doxylamine succinate,DTXSID7020552,562-10-7,Negative,,,,,,,,,
,Carbon tetrachloride,DTXSID8020250,56-23-5,Negative; Negative,,,,,,,,,
,Tri-m-cresyl phosphate,DTXSID4026216,563-04-2,Negative,,,,,,,,,
,Semicarbazide hydrochloride,DTXSID4020244,563-41-7,Negative,,,,,,,,,
TR-340,Iodinated glycerol,DTXSID4020741,5634-39-9,Positive,,,Negative,,,,,,
TR-300,3-Chloro-2-methylpropene,DTXSID1020279,563-47-3,Weakly Positive; Negative; Negative,,,Negative,,,,,,
,"1,1-Dichloropropene",DTXSID1029910,563-58-6,Negative,,,,,,,,,
,bis(Tributyltin)oxide,DTXSID9020166,56-35-9,Negative,,,,,,,,,
TR-070,Parathion,DTXSID7021100,56-38-2,Weakly Positive; Negative,,,,,,,,,
,Glycine,DTXSID9020667,56-40-6,Negative; Negative,,,,,,,,,
,3-Methylcholanthrene,DTXSID0020862,56-49-5,Positive; Positive; Positive,,,,,,,,,
,Diethylstilbestrol,DTXSID3020465,56-53-1,Negative,,,Negative; Negative; Negative; Negative,Positive; Positive; Negative; Negative; Negative; Negative; Negative,,,,,
,Quinidine,DTXSID4023549,56-54-2,Negative; Negative,,,,,,,,,
TR-096,Coumaphos,DTXSID2020347,56-72-4,Negative,,,,,,,,,
TR-294,Chlorinated trisodium phosphate,DTXSID1020271,56802-99-4,Weakly Positive,,,,,,,,,
,tert-Butylphenyl Diphenyl Phosphate,DTXSID6024701,56803-37-3,Negative,,,,,,,,,
,Glycerol,DTXSID9020663,56-81-5,Negative; Negative; Equivocal,,,,,,,,,
,Benzyltrimethyl ammonium chloride,DTXSID8024600,56-93-9,Negative,,,Positive,Positive,,,,,
TR-588,Glycidamide,DTXSID2031374,5694-00-8,Positive,,,,,,,,,
,Chlorhexidine acetate,DTXSID7032345,56-95-1,Negative,,,,,,,,,
,Chlorotrianisene,DTXSID1021299,569-57-3,Negative; Negative,,,,,,,,,
TR-285,C.I. Basic Red 9 Monohydrochloride,DTXSID1021247,569-61-9,Positive,Negative,,,,,,,,
TR-527,Malachite green,DTXSID1025512,569-64-2,Negative,Negative,,Negative,Negative,,,,,
TR-515,Propylene glycol mono-t-butyl ether,DTXSID8025967,57018-52-7,Positive,,,Negative,Weakly Positive,,,,,
,2-Methyl-6-nitroaniline,DTXSID7025631,570-24-1,Positive,,,,,,,,,
TR-234,Allyl isothiocyanate,DTXSID3020047,57-06-7,Weakly Positive; Negative,,,Negative; Negative; Negative,,,,,,
,Stearic acid,DTXSID8021642,57-11-4,Negative,,,,,,,,,
,Urea,DTXSID4021426,57-13-6,Negative,,,,,,,,,
,Dimethyl hydrazine (DMH),DTXSID1020516,57-14-7,,,,Negative,,,,,,
,Maleic hydrazide diethanolamine,DTXSID6025519,5716-15-4,Weakly Positive,,,,,,,,,
,Methanediamine 2HCl,DTXSID4025531,57166-92-4,Positive,,,,,,,,,
,Benzoin acetate,DTXSID7024580,574-06-1,Negative,,,,,,,,,
TR-404,"5,5-Diphenylhydantoin (phenytoin)",DTXSID8020541,57-41-0,Negative; Negative,,,Negative; Negative,,,,,,
,"1,6-Dimethylnaphthalene",DTXSID7022415,575-43-9,Negative,,,,,,,,,
,"1,2-Propylene glycol",DTXSID0021206,57-55-6,Negative; Negative,,,,,,,,,
,Propiolactone,DTXSID8021197,57-57-8,Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,"2,3-Dichlorophenol",DTXSID7025001,576-24-9,Negative,,,,,,,,,
,"2,6-Dimethyl phenol",DTXSID9024063,576-26-1,Negative,,,,,,,,,
TR-548,Ethinyl estradiol,DTXSID5020576,57-63-6,Negative,,,Negative; Negative; Negative; Negative,Negative; Negative; Negative; Negative,,,,,
,Tetrabromo-o-cresol,DTXSID6040163,576-55-6,Negative,,,Negative,,,,,Negative,
TR-395,Probenecid,DTXSID9021188,57-66-9,Negative,,,,,,,,,
,Sulfamethazine,DTXSID6021290,57-68-1,Negative,,,,,,,,,
,"2,3-Butanedione 2-oxime",DTXSID7024669,57-71-6,Negative,,,,,,,,,
TR-008,Chlordane (analytical grade),DTXSID7020267,57-74-9,Negative,,,,,,,,,
,o-Nitroacetophenone,DTXSID6025723,577-59-3,Negative,,,,,,,,,
,Progesterone,DTXSID3022370,57-83-0,Negative,,,,,,,,,
,5-Methyl-2-nitroaniline,DTXSID2025634,578-46-1,Negative,,,,,,,,,
,2-Ethylaniline,DTXSID0042242,578-54-1,Negative,,,,,,,,,
,"2,6-Diethylaniline (2,6-DEA)",DTXSID6027218,579-66-8,Equivocal,,,,,,,,,
,"7,12-Dimethylbenzanthracene",DTXSID1020510,57-97-6,,,,Positive,,,,,,
,Caffeine,DTXSID0020232,58-08-2,Negative,,,,,,,,,
TR-077,Pyrimethamine,DTXSID9021217,58-14-0,Negative,,,,,,,,,
,4-Dimethylaminoantipyrine,DTXSID7020504,58-15-1,Weakly Positive; Equivocal,,,,,,,,,
TR-425,Promethazine hydrochloride,DTXSID3021192,58-33-3,Negative; Negative,,,,,,,,,
,2-Mercaptobenzimidazole,DTXSID9025536,583-39-1,Negative,,,Negative,Negative,,,,,
,"2,5-Dichlorophenol",DTXSID7025003,583-78-8,Negative,,,,,,,,,
,"2,4-Toluene diisocyanate",DTXSID7026156,584-84-9,Positive,,,,,,,,,
,Ethacrynic acid,DTXSID3025257,58-54-8,Negative,,,,,,,,,
TR-473,Theophylline,DTXSID5021336,58-55-9,Negative,,,Positive,Negative,,,,,
,3-Ethylaniline,DTXSID1051434,587-02-0,Negative,,,,,,,,,
TR-014,Lindane,DTXSID2020686,58-89-9,Negative,,,,,,,,,
,"2,3,4,6-Tetrachlorophenol",DTXSID9021716,58-90-2,Negative,,,,,,,,,
,4-Ethylaniline,DTXSID0022066,589-16-2,Negative,,,,,,,,,
,p-Methyl benzyl alcohol,DTXSID5025574,589-18-4,Negative,,,,,,,,,
TR-357,Hydrochlorothiazide,DTXSID2020713,58-93-5,Negative,,,,,,,,,
,Chlorothiazide,DTXSID0022800,58-94-6,Negative,,,,,,,,,
,Bromoacetonitrile,DTXSID2021496,590-17-0,Negative,,,,,,,,,
,m-Bromotoluene,DTXSID3024659,591-17-3,Negative,,,,,,,,,
,3-Aminophenol,DTXSID3024497,591-27-5,Positive,,,,,,,,,
,"3,5-Dichlorophenol",DTXSID2025006,591-35-5,Equivocal,,,,,,,,,
,Allyl acetate,DTXSID9024437,591-87-7,Positive; Positive,Negative,,Negative,Weakly Positive,,,,,
,1-n-Hexene,DTXSID4025402,592-41-6,Negative,,,,,,,,,
,4-Pentenenitrile,DTXSID0027228,592-51-8,Negative,,,,,,,,,
,Hexyl glycidyl ether,DTXSID9025405,5926-90-9,Positive,,,,,,,,,
,Folic acid,DTXSID0022519,59-30-3,Negative,,,,,,,,,
,2-Tridecanone,DTXSID4022070,593-08-8,Negative,,,,,,,,,
,Pyrilamine maleate,DTXSID4021216,59-33-6,,,,Negative,,,,,,
,o-Methylhydroxylamine hydrochloride,DTXSID9025615,593-56-6,Negative,,,,,,,,,
,Vinyl bromide,DTXSID8021432,593-60-2,Positive,,,,,,,,,
,"2,2-Dichloropropane",DTXSID7030060,594-20-7,Negative,,,,,,,,,
,Perchloromethyl mercaptan,DTXSID6025854,594-42-3,Positive,,,,,,,,,
,2-Chloro-2-nitropropane,DTXSID7024798,594-71-8,Weakly Positive,,,,,,,,,
,"1,1-Dichloro-1-nitroethane",DTXSID4021638,594-72-9,Positive,,,,,,,,,
,4-Chloro-m-cresol,DTXSID4021717,59-50-7,Negative,,,,,,,,,
,"2-Nitro-2-ethyl-1,3-propanediol",DTXSID7041417,597-09-1,Negative,,,,,,,,,
TR-298,Dimethyl morpholinophosphoramidate,DTXSID5020495,597-25-1,Negative,,,,,,,,,
,3-Oxobutanamide,DTXSID1040164,5977-14-0,Positive,,,Negative,,,,,,
TR-419,HC Yellow 4,DTXSID6021458,59820-43-8,Positive,,,,,,,,,
,"2,2-Dichloroethanol",DTXSID4024989,598-38-9,Weakly Positive,,,,,,,,,
TR-328,Methyl carbamate,DTXSID8020834,598-55-0,Negative,,,Negative,,,,,,
,Cyclosporin A,DTXSID0020365,59865-13-3,Negative,,,,,,,,,
TR-337,Nitrofurazone,DTXSID5020944,59-87-0,Positive,,,Negative,,,,,,
,N-Nitrosomorpholine,DTXSID4021056,59-89-2,Positive,,,,,,,,,
TR-347,D-Limonene,DTXSID1020778,5989-27-5,Negative,,,,,,,,,
,L-Dopa,DTXSID9023209,59-92-7,Positive,,,,,,,,,
TR-457,Salicylazosulfapyridine,DTXSID0021256,599-79-1,Negative,Equivocal,,Positive (Nonstandard Protocol); Positive; Positive; Not a Valid Test; Negative,Positive; Positive,,,,,
,"2,3-Pentanedione",DTXSID6051435,600-14-6,,Negative,Negative,Negative,Negative,,,,,
,1-Chloro-1-nitropropane,DTXSID2024797,600-25-9,Positive,,,,,,,,,
,p-Aminoazobenzene,DTXSID6024460,60-09-3,Positive,,,,,,,,,
,4-Dimethylaminoazobenzene,DTXSID5020491,60-11-7,Positive; Positive,,,,,,,,,
TR-387,DL-amphetamine sulfate,DTXSID4020082,60-13-9,Equivocal,,,,,,,,,
,"2,3-Dinitrotoluene",DTXSID4027236,602-01-7,Positive,,,,,,,,,
,"1,8-Dinitronaphthalene",DTXSID9025166,602-38-0,Positive,,,,,,,,,
,9-Nitroanthracene,DTXSID5025730,602-60-8,Positive; Positive,,,,,,,,,
TR-118,5-Nitroacenaphthene,DTXSID3020960,602-87-9,Positive,,,,,,,,,
,Ethyl ether,DTXSID3021720,60-29-7,Negative; Equivocal,,,,,,,,,
,Linoleic acid,DTXSID2025505,60-33-3,Negative,,,,,,,,,
,Triphenylamine,DTXSID4022076,603-34-9,Negative; Negative,,,,,,,,,
,Triphenyl phosphine,DTXSID5026251,603-35-0,Negative,,,,,,,,,
,Methylhydrazine,DTXSID4020874,60-34-4,Negative,,,,,,,,,
,"2,2',4,4',5-Pentabromodiphenyl Ether",DTXSID9030048,60348-60-9,Negative,,,,,,,,,
,Bisacodyl,DTXSID1022681,603-50-9,Negative,,,,,,,,,
,asym-Diphenylurea,DTXSID7025184,603-54-3,Negative,,,,,,,,,
,Acetamide,DTXSID7020005,60-35-5,Negative,,,,,,,,,
,2-Methyl-3-nitroaniline,DTXSID8025628,603-83-8,Positive,,,,,,,,,
,C.I. Pigment Red 2,DTXSID3025914,6041-94-7,Weakly Positive,,,,,,,,,
"TR-443, TR-468",Oxazepam,DTXSID1021087,604-75-1,Negative,,,Negative,Negative,,,,,
TR-004,Dimethoate,DTXSID7020479,60-51-5,Positive; Positive,,,,,,,,,
,"5,6-Benzoflavone",DTXSID8030423,6051-87-2,Negative,,,,,,,,,
,Cyclophosphamide monohydrate,DTXSID6024888,6055-19-2,Positive; Positive,Positive; Positive; Positive; Positive,,Positive; Positive; Positive; Positive; Positive,Weakly Positive; Positive; Positive; Positive,,,,,
,"1,6-Hexanediamine dihydrochloride",DTXSID8029991,6055-52-3,,,,Negative,Negative,,,,,
"TR-021, TR-022",Dieldrin,DTXSID9020453,60-57-1,Negative,,,,,,,,,
,"1,5-Dinitronaphthalene",DTXSID4025165,605-71-0,Positive,,,,,,,,,
,"2,6-Dinitrotoluene",DTXSID5020528,606-20-2,Positive,,,,,,,,,
,"1,3-Dinitronaphthalene",DTXSID9025164,606-37-1,Positive,,,,,,,,,
,Myristicin,DTXSID1025693,607-91-0,Negative,Positive,Positive,Negative,Negative,,,,,
,"2-Methyl-1,3-benzenediol",DTXSID0025571,608-25-3,Negative,,,Negative,,,,,,
,Pentabromophenol,DTXSID9022079,608-71-9,Negative,,,,,,,,,
,DDD (6-hydroxy-2-naphthyl disulfide),DTXSID7025429,6088-51-3,Negative,,,,,,,,,
,Pentachlorobenzene,DTXSID7024247,608-93-5,Negative,,,Negative,Negative,,,,,
,"3,4,5-Trichlorophenol",DTXSID4026212,609-19-8,Negative,,,,,,,,,
TR-219,"2,6-Dichloro-p-phenylenediamine",DTXSID7020427,609-20-1,Positive; Positive,,,Negative,,,,,,
,2-Nitro-1-butanol,DTXSID9025748,609-31-4,Negative,,,,,,,,,
,o-Nitrobenzoyl chloride,DTXSID4025741,610-14-0,Positive,,,,,,,,,
,o-Nitrobenzamide,DTXSID0025733,610-15-1,Positive,,,,,,,,,
,"3,4-Dinitrotoluene",DTXSID8027240,610-39-9,Positive,,,,,,,,,
,(o-Nitrophenyl)acetonitrile,DTXSID7025768,610-66-2,Positive,,,,,,,,,
TR-093,3-Amino-9-ethylcarbazole HCl,DTXSID2020054,6109-97-3,Positive,,,,,,,,,
,"2,4-Dichloronitrobenzene",DTXSID3024998,611-06-3,Positive,,,,,,,,,
,6-Mercaptopurine monohydrate,DTXSID9025538,6112-76-1,Positive,,,,,,,,,
,8-Methylquinoline,DTXSID8020888,611-32-5,Positive,,,,,,,,,
,o-Nitrobenzyl chloride,DTXSID9025744,612-23-7,Positive,,,,,,,,,
,Papaverine hydrochloride,DTXSID9025825,61-25-6,Negative,,,,,,,,,
,7-Methylquinoline,DTXSID5025657,612-60-2,Positive,,,,,,,,,
TR-390,"3,3'-Dimethylbenzidine dihydrochloride",DTXSID6020511,612-82-8,Positive,,,,,,,,,
,"3,3'-Dichlorobenzidine dihydrochloride",DTXSID1020433,612-83-9,Positive,,,,,,,,,
,2-Aminoanthracene,DTXSID2024458,613-13-8,Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,Triprolidine hydrochloride monohydrate,DTXSID0021410,6138-79-0,Negative,,,,,,,,,
,N-Methylbenzamide,DTXSID5025570,613-93-4,Negative,,,,,,,,,
,tert-Butyl perbenzoate,DTXSID9024699,614-45-9,Positive,,,Negative,Negative,,,,,
,Quercetin dihydrate,DTXSID9021219,6151-25-3,,,,Negative,,,,,,
,"2,3-Dichloro-1-propanol",DTXSID2024038,616-23-9,Positive,,,,,,,,,
TR-113,2-Chloro-p-phenylenediamine sulfate,DTXSID0020284,61702-44-1,Positive,,,,,,,,,
,C.I. Direct Black 114,DTXSID2025189,61703-05-7,Positive,,,,,,,,,
TR-322,Phenylephrine hydrochloride,DTXSID3021142,61-76-7,Negative,Negative,,,,,,,,
,Diethylformamide,DTXSID3020463,617-84-5,Negative,,,,,,,,,
,Cobalt naphthenate,DTXSID1024839,61789-51-3,Negative,,,,,,,,,
,bis(Hydrogenated tallow alkyl) dimethyl ammonium methyl sulfate,DTXSID6024620,61789-81-9,Negative,,,,,,,,,
,Sodium naphthenate,DTXSID1026037,61790-13-4,Negative,,,,,,,,,
,3-Aminotriazole,DTXSID0020076,61-82-5,Negative,,,,,,,,,
TR-109,4-Nitroanthranilic acid,DTXSID8020963,619-17-0,Positive; Positive,,,,,,,,,
,m-Nitrobenzyl chloride,DTXSID4025743,619-23-8,Positive,,,,,,,,,
,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",DTXSID9025299,6197-30-4,Negative,,,,,,,,,
,p-Nitrobenzamide,DTXSID8022086,619-80-7,Weakly Positive,,,,,,,,,
,5-Amino-3-sulfosalicylic acid,DTXSID0024507,6201-87-2,Negative,,,,,,,,,
,m-Tolunitrile,DTXSID6026167,620-22-4,Negative,,,,,,,,,
,3-Ethylaminophenol,DTXSID6025270,621-31-8,Positive,,,,,,,,,
